Traces,LRU,ship,hawkeye_base,hawkeye_maxRRPV_2,hawkeye_maxRRPV_3,hawkeye_maxRRPV_4,hawkeye_maxRRPV_5,hawkeye_maxRRPV_6,hawkeye_maxRRPV_8,hawkeye_maxRRPV_9,hawkeye_maxRRPV_10,hawkeye_maxRRPV_11,hawkeye_maxRRPV_12,hawkeye_maxRRPV_13,hawkeye_maxRRPV_14,hawkeye_maxRRPV_15,
milc_360B, 20.9585, 21.0882, 27.4214, 27.6486, 27.6486, 27.6486, 27.4576, 27.5459, 27.505, 27.5512, 27.6486, 27.6486, 27.6486, 27.6486, 27.6486, 27.6486,
milc_409B, 18.1755, 18.3126, 25.8959, 25.8939, 25.8939, 25.8939, 25.7702, 26.0301, 25.8554, 25.8484, 25.8939, 25.8939, 25.8939, 25.8939, 25.8939, 25.8939,
milc_744B, 17.4449, 17.4885, 23.8639, 23.8563, 23.8563, 23.8563, 23.9538, 23.8466, 23.8417, 23.8249, 23.8563, 23.8563, 23.8563, 23.8563, 23.8563, 23.8563,
namd_1907B, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411, 0.08411,
namd_400B, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487, 0.0487,
namd_851B, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364, 0.10364,
omnetpp_17B, 10.3038, 5.38986, 7.07205, 7.07313, 7.07313, 7.07313, 6.88122, 7.01139, 7.18678, 7.26236, 7.07313, 7.07313, 7.07313, 7.07313, 7.07313, 7.07313,
omnetpp_340B, 17.0106, 17.2048, 20.3188, 20.2384, 20.2384, 20.2384, 20.4099, 20.3627, 20.3387, 20.4295, 20.2384, 20.2384, 20.2384, 20.2384, 20.2384, 20.2384,
omnetpp_4B, 6.74132, 3.52066, 5.20024, 5.20068, 5.20068, 5.20068, 4.99847, 5.10037, 5.28215, 5.36386, 5.20068, 5.20068, 5.20068, 5.20068, 5.20068, 5.20068,
perlbench_105B, 0.19883, 0.19885, 0.19883, 0.19883, 0.19883, 0.19883, 0.19887, 0.19884, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883, 0.19883,
perlbench_135B, 0.2498, 0.26595, 0.23305, 0.23088, 0.23088, 0.23088, 0.23249, 0.23272, 0.23381, 0.23445, 0.23088, 0.23088, 0.23088, 0.23088, 0.23088, 0.23088,
perlbench_53B, 0.19001, 0.19422, 0.17334, 0.17369, 0.17369, 0.17369, 0.17268, 0.17321, 0.17346, 0.1738, 0.17369, 0.17369, 0.17369, 0.17369, 0.17369, 0.17369,
povray_250B, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424, 0.01424,
povray_437B, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727, 0.02727,
povray_711B, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694, 0.02694,
sjeng_1109B, 0.36747, 0.37084, 0.40697, 0.40697, 0.40697, 0.40697, 0.40589, 0.4066, 0.40682, 0.40683, 0.40697, 0.40697, 0.40697, 0.40697, 0.40697, 0.40697,
sjeng_1966B, 0.39669, 0.39892, 0.4403, 0.4403, 0.4403, 0.4403, 0.44066, 0.44038, 0.44178, 0.44174, 0.4403, 0.4403, 0.4403, 0.4403, 0.4403, 0.4403,
sjeng_358B, 0.36192, 0.36243, 0.39208, 0.39208, 0.39208, 0.39208, 0.39354, 0.3922, 0.39206, 0.39205, 0.39208, 0.39208, 0.39208, 0.39208, 0.39208, 0.39208,
soplex_205B, 34.1025, 33.0063, 31.9327, 31.8898, 31.8898, 31.8898, 31.9635, 31.9489, 31.8967, 31.8879, 31.8898, 31.8898, 31.8898, 31.8898, 31.8898, 31.8898,
soplex_217B, 34.108, 32.7634, 30.0191, 29.9526, 29.9526, 29.9526, 30.3787, 30.3861, 29.9502, 29.9011, 29.9526, 29.9526, 29.9526, 29.9526, 29.9526, 29.9526,
soplex_66B, 27.573, 25.4968, 25.0126, 25.0166, 25.0166, 25.0166, 25.0662, 24.9763, 24.9887, 24.9715, 25.0166, 25.0166, 25.0166, 25.0166, 25.0166, 25.0166,
sphinx3_1339B, 10.9775, 9.89978, 6.62716, 6.6048, 6.6048, 6.6048, 6.50389, 6.56701, 6.71664, 6.70754, 6.6048, 6.6048, 6.6048, 6.6048, 6.6048, 6.6048,
sphinx3_2520B, 8.23917, 7.79928, 5.06459, 4.91466, 4.91466, 4.91466, 5.03802, 4.99814, 5.14428, 4.85828, 4.91466, 4.91466, 4.91466, 4.91466, 4.91466, 4.91466,
sphinx3_883B, 12.7567, 12.0154, 8.80186, 8.74442, 8.74442, 8.74442, 8.71894, 8.7524, 8.75788, 8.78759, 8.74442, 8.74442, 8.74442, 8.74442, 8.74442, 8.74442,
tonto_2049B, 0.11855, 0.11855, 0.11854, 0.11854, 0.11854, 0.11854, 0.11854, 0.11854, 0.11855, 0.11855, 0.11854, 0.11854, 0.11854, 0.11854, 0.11854, 0.11854,
tonto_2834B, 0.2061, 0.2061, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584, 0.20584,
tonto_422B, 2.76187, 2.29941, 2.36578, 2.37466, 2.37466, 2.37466, 2.36725, 2.35519, 2.34598, 2.35479, 2.37466, 2.37466, 2.37466, 2.37466, 2.37466, 2.37466,
wrf_1212B, 0.78051, 0.78017, 0.96226, 0.96196, 0.96196, 0.96196, 0.96683, 0.96808, 0.96339, 0.96373, 0.96196, 0.96196, 0.96196, 0.96196, 0.96196, 0.96196,
wrf_1228B, 10.1802, 9.95491, 10.7275, 10.7273, 10.7273, 10.7273, 10.7061, 10.6435, 10.6643, 10.7452, 10.7273, 10.7273, 10.7273, 10.7273, 10.7273, 10.7273,
wrf_1650B, 7.84971, 7.85353, 8.9381, 8.94808, 8.94808, 8.94808, 8.94073, 8.981, 8.94145, 8.90755, 8.94808, 8.94808, 8.94808, 8.94808, 8.94808, 8.94808,
xalancbmk_748B, 2.7187, 2.74432, 4.0082, 4.00903, 4.00903, 4.00903, 4.02512, 4.01406, 4.00725, 4.00829, 4.00903, 4.00903, 4.00903, 4.00903, 4.00903, 4.00903,
xalancbmk_768B, 0.27531, 0.27743, 0.3229, 0.32289, 0.32289, 0.32289, 0.33315, 0.3263, 0.31576, 0.31361, 0.32289, 0.32289, 0.32289, 0.32289, 0.32289, 0.32289,
xalancbmk_99B, 29.4543, 28.8014, 24.3415, 24.2437, 24.2437, 24.2437, 24.2683, 24.3107, 24.3817, 24.4164, 24.2437, 24.2437, 24.2437, 24.2437, 24.2437, 24.2437,
zeusmp_100B, 4.9905, 5.06636, 6.66023, 6.66023, 6.66023, 6.66023, 6.62534, 6.60849, 6.76237, 6.64851, 6.66023, 6.66023, 6.66023, 6.66023, 6.66023, 6.66023,
zeusmp_300B, 2.65241, 2.68278, 3.35052, 3.35052, 3.35052, 3.35052, 3.35602, 3.35777, 3.34556, 3.33406, 3.35052, 3.35052, 3.35052, 3.35052, 3.35052, 3.35052,
zeusmp_600B, 3.15904, 3.15866, 3.71532, 3.71525, 3.71525, 3.71525, 3.67075, 3.70986, 3.71412, 3.7224, 3.71525, 3.71525, 3.71525, 3.71525, 3.71525, 3.71525,
