Traces,LRU,ship,hawkeye_base,hawkeye_OPTGEN_VECTOR_SIZE_32,hawkeye_OPTGEN_VECTOR_SIZE_64,hawkeye_OPTGEN_VECTOR_SIZE_256,hawkeye_OPTGEN_VECTOR_SIZE_512,
gobmk_76B, 0.873691, 0.87384, 0.873748, 1.79089, 1.79089, 1.79089, 1.79089,
gromacs_0B, 1.83077, 1.83077, 1.83077, 1.59771, 1.59781, 1.59781, 1.59781,
gromacs_1B, 1.79082, 1.79082, 1.79082, 1.44658, 1.44615, 1.44615, 1.44615,
h264ref_178B, 1.58487, 1.58868, 1.59805, 1.46855, 1.46919, 1.46919, 1.46919,
h264ref_273B, 1.43549, 1.44032, 1.44734, 2.13514, 2.12812, 2.1294, 2.1294,
h264ref_351B, 1.45216, 1.45819, 1.46696, 2.30435, 2.30435, 2.30435, 2.30435,
hmmer_397B, 1.97556, 2.00264, 2.12941, 2.1821, 2.18157, 2.18157, 2.18157,
hmmer_546B, 2.30368, 2.30371, 2.30363, 0.243296, 0.312109, 0.311868, 0.311868,
hmmer_7B, 2.04122, 2.07903, 2.17418, 0.233859, 0.29554, 0.299537, 0.299537,
lbm_1004B, 0.245498, 0.245418, 0.30815, 0.253393, 0.326375, 0.328353, 0.328353,
lbm_564B, 0.236169, 0.235957, 0.298574, 0.551816, 0.561652, 0.564186, 0.564186,
lbm_94B, 0.25574, 0.25564, 0.328647, 0.600586, 0.615516, 0.616461, 0.616461,
leslie3d_1116B, 0.483338, 0.511825, 0.564357, 0.429312, 0.428865, 0.426553, 0.426553,
leslie3d_1186B, 0.565233, 0.59341, 0.617025, 0.328842, 0.330504, 0.324539, 0.323673,
leslie3d_94B, 0.424226, 0.423895, 0.42922, 0.300616, 0.304663, 0.306939, 0.306257,
libquantum_1210B, 0.315119, 0.31503, 0.329262, 0.60345, 0.605792, 0.591782, 0.59063,
libquantum_1735B, 0.315677, 0.315678, 0.304727, 0.0836159, 0.0834847, 0.0815888, 0.0815877,
libquantum_964B, 0.584076, 0.583197, 0.59774, 0.0719776, 0.0717241, 0.0711617, 0.0710554,
mcf_158B, 0.070319, 0.0724403, 0.0816203, 0.0941543, 0.0935459, 0.0912578, 0.0912526,
mcf_250B, 0.0633837, 0.0664612, 0.0713127, 0.561, 0.557348, 0.55973, 0.55889,
mcf_46B, 0.0797116, 0.0818961, 0.091271, 0.578157, 0.578353, 0.578056, 0.576871,
milc_360B, 0.564018, 0.560838, 0.563944, 0.649642, 0.649788, 0.649156, 0.647415,
milc_409B, 0.582121, 0.578301, 0.580621, 2.41173, 2.41173, 2.41173, 2.41173,
milc_744B, 0.653594, 0.653266, 0.648207, 2.04686, 2.04686, 2.04686, 2.04686,
namd_1907B, 2.41199, 2.41199, 2.41199, 2.4332, 2.4332, 2.4332, 2.4332,
namd_400B, 2.04686, 2.04686, 2.04686, 1.28724, 1.28793, 1.28793, 1.28793,
namd_851B, 2.43338, 2.43338, 2.43338, 0.383614, 0.388826, 0.39157, 0.39157,
omnetpp_17B, 1.03519, 1.34096, 1.21887, 1.31301, 1.31261, 1.30973, 1.30968,
omnetpp_340B, 0.38103, 0.382137, 0.390037, 1.54216, 1.54216, 1.54216, 1.54216,
omnetpp_4B, 1.2033, 1.43399, 1.30893, 0.808539, 0.808584, 0.808584, 0.808584,
perlbench_105B, 1.54164, 1.54163, 1.54164, 0.798899, 0.798878, 0.798878, 0.798878,
perlbench_135B, 0.806364, 0.805381, 0.807838, 1.1165, 1.1165, 1.1165, 1.1165,
perlbench_53B, 0.799066, 0.798841, 0.800386, 1.14567, 1.14567, 1.14567, 1.14567,
povray_250B, 1.1165, 1.1165, 1.1165, 1.11754, 1.11754, 1.11754, 1.11754,
povray_437B, 1.14565, 1.14565, 1.14565, 0.828753, 0.828753, 0.828753, 0.828753,
povray_711B, 1.11752, 1.11752, 1.11752, 0.868072, 0.868072, 0.868072, 0.868072,
sjeng_1109B, 0.828722, 0.828727, 0.828766, 0.863911, 0.863911, 0.863911, 0.863911,
sjeng_1966B, 0.867982, 0.868002, 0.868041, 0.291664, 0.295332, 0.29464, 0.29464,
sjeng_358B, 0.863858, 0.86387, 0.863895, 0.309038, 0.314887, 0.314543, 0.314543,
soplex_205B, 0.263107, 0.268371, 0.296376, 0.361446, 0.36318, 0.364507, 0.364507,
soplex_217B, 0.268843, 0.276402, 0.314412, 1.25475, 1.25672, 1.25672, 1.25672,
soplex_66B, 0.3124, 0.329779, 0.362651, 1.48283, 1.48539, 1.48539, 1.48539,
sphinx3_1339B, 0.872536, 0.93919, 1.18224, 0.935201, 0.916833, 0.916914, 0.916914,
sphinx3_2520B, 1.13242, 1.17707, 1.44439, 1.44496, 1.44496, 1.44496, 1.44496,
sphinx3_883B, 0.720635, 0.752782, 0.919146, 1.48028, 1.48028, 1.48028, 1.48028,
tonto_2049B, 1.44492, 1.44492, 1.44492, 1.50185, 1.47701, 1.4705, 1.4705,
tonto_2834B, 1.47975, 1.47975, 1.4798, 1.54216, 1.54216, 1.54216, 1.54216,
tonto_422B, 1.32708, 1.42359, 1.48625, 0.992089, 0.999275, 0.999275, 0.999275,
wrf_1212B, 1.54112, 1.54135, 1.54173, 0.690887, 0.691408, 0.690027, 0.690027,
wrf_1228B, 0.879495, 0.890803, 0.969151, 1.20241, 1.20179, 1.20109, 1.20109,
wrf_1650B, 0.679856, 0.67937, 0.692418, 1.78512, 1.78512, 1.78512, 1.78512,
xalancbmk_748B, 1.16745, 1.17066, 1.20391, 0.287513, 0.277932, 0.276725, 0.276725,
xalancbmk_768B, 1.78291, 1.78299, 1.78364, 1.70502, 1.70512, 1.7053, 1.7053,
xalancbmk_99B, 0.250574, 0.253843, 0.274263, 1.78041, 1.78041, 1.78041, 1.78041,
zeusmp_100B, 1.70641, 1.7047, 1.70575, 1.84078, 1.83928, 1.83928, 1.83928,
zeusmp_300B, 1.7724, 1.76342, 1.77727,,,
zeusmp_600B, 1.83816, 1.83784, 1.84054,,,
