Traces,LRU,ship,,hawkeye_SAMPLED_CACHE_SIZE_700,hawkeye_SAMPLED_CACHE_SIZE_1400,hawkeye_base,hawkeye_SAMPLED_CACHE_SIZE_5600,hawkeye_SAMPLED_CACHE_SIZE_11200,,,hawkeye_SAMPLED_CACHE_SIZE_700,hawkeye_SAMPLED_CACHE_SIZE_1400,hawkeye_base,hawkeye_SAMPLED_CACHE_SIZE_5600,hawkeye_SAMPLED_CACHE_SIZE_11200
namd_400B,2.04686,2.04686,,2.04686,2.04686,2.04686,2.04686,2.04686,,,,,,,
namd_851B,2.43338,2.43338,,2.43338,2.43338,2.43338,2.43338,2.43338,,,,,,,
omnetpp_17B,1.03519,1.34096,,1.21876,1.21876,1.21887,1.21876,1.21876,,,,,,,
omnetpp_340B,0.38103,0.382137,,0.390214,0.390214,0.390037,0.390214,0.390214,,,,,,,
omnetpp_4B,1.2033,1.43399,,1.30904,1.30904,1.30893,1.30904,1.30904,,,,,,,
perlbench_105B,1.54164,1.54163,,1.54164,1.54164,1.54164,1.54164,1.54164,,,,,,,
perlbench_135B,0.806364,0.805381,,0.807838,0.807838,0.807838,0.807838,0.807838,,,,,,,
perlbench_53B,0.799066,0.798841,,0.800435,0.800435,0.800386,0.800435,0.800435,,,,,,,
povray_250B,1.1165,1.1165,,1.1165,1.1165,1.1165,1.1165,1.1165,,,,,,,
povray_437B,1.14565,1.14565,,1.14565,1.14565,1.14565,1.14565,1.14565,,,,,,,
povray_711B,1.11752,1.11752,,1.11752,1.11752,1.11752,1.11752,1.11752,,,,,,,
sjeng_1109B,0.828722,0.828727,,0.828766,0.828766,0.828766,0.828766,0.828766,,,,,,,
sjeng_1966B,0.867982,0.868002,,0.868041,0.868041,0.868041,0.868041,0.868041,,,,,,,
sjeng_358B,0.863858,0.86387,,0.863895,0.863895,0.863895,0.863895,0.863895,,,,,,,
soplex_205B,0.263107,0.268371,,0.296441,0.296441,0.296376,0.296441,0.296441,,,,,,,
soplex_217B,0.268843,0.276402,,0.314521,0.314521,0.314412,0.314521,0.314521,,,,,,,
soplex_66B,0.3124,0.329779,,0.362489,0.362489,0.362651,0.362489,0.362489,,,,,,,
sphinx3_1339B,0.872536,0.93919,,1.18312,1.18312,1.18224,1.18312,1.18312,,,,,,,
sphinx3_2520B,1.13242,1.17707,,1.45183,1.45183,1.44439,1.45183,1.45183,,,,,,,
sphinx3_883B,0.720635,0.752782,,0.922229,0.922229,0.919146,0.922229,0.922229,,,,,,,
tonto_2049B,1.44492,1.44492,,1.44492,1.44492,1.44492,1.44492,1.44492,,,,,,,
tonto_2834B,1.47975,1.47975,,1.4798,1.4798,1.4798,1.4798,1.4798,,,,,,,
tonto_422B,1.32708,1.42359,,1.48625,1.48625,1.48625,1.48625,1.48625,,,,,,,
wrf_1212B,1.54112,1.54135,,1.54168,1.54168,1.54173,1.54168,1.54168,,,,,,,
wrf_1228B,0.879495,0.890803,,0.969438,0.969438,0.969151,0.969438,0.969438,,,,,,,
wrf_1650B,0.679856,0.67937,,0.691767,0.691767,0.692418,0.691767,0.691767,,,,,,,
xalancbmk_748B,1.16745,1.17066,,1.20421,1.20421,1.20391,1.20421,1.20421,,,,,,,
xalancbmk_768B,1.78291,1.78299,,1.78364,1.78364,1.78364,1.78364,1.78364,,,,,,,
xalancbmk_99B,0.250574,0.253843,,0.274754,0.274754,0.274263,0.274754,0.274754,,,,,,,
zeusmp_100B,1.70641,1.7047,,1.70575,1.70575,1.70575,1.70575,1.70575,,,,,,,
zeusmp_300B,1.7724,1.76342,,1.77727,1.77727,1.77727,1.77727,1.77727,,,,,,,
zeusmp_600B,1.83816,1.83784,,1.84043,1.84043,1.84054,1.84043,1.84043,,,,,,,
