Traces,LRU,ship,shippp_base,shippp_maxSHCTR_5,shippp_maxSHCTR_6,shippp_maxSHCTR_8,shippp_maxSHCTR_9,
perlbench_135B, 0.2498, 0.26595, 0.25793, 0.01424, 0.01424, 0.01424, 0.01424,
perlbench_53B, 0.19001, 0.19422, 0.19289, 0.02727, 0.02727, 0.02727, 0.02727,
povray_250B, 0.01424, 0.01424, 0.01424, 0.02694, 0.02694, 0.02694, 0.02694,
povray_437B, 0.02727, 0.02727, 0.02727, 0.39891, 0.39891, 0.39891, 0.39891,
povray_711B, 0.02694, 0.02694, 0.02694, 0.44059, 0.44059, 0.44059, 0.44059,
sjeng_1109B, 0.36747, 0.37084, 0.40371, 0.391, 0.39093, 0.39093, 0.39093,
sjeng_1966B, 0.39669, 0.39892, 0.44146, 32.5258, 32.8789, 32.8807, 32.6478,
sjeng_358B, 0.36192, 0.36243, 0.3939, 30.5639, 30.5946, 30.3597, 30.2683,
soplex_205B, 34.1025, 33.0063, 33.49, 25.0514, 25.0703, 24.8134, 24.9882,
soplex_217B, 34.108, 32.7634, 31.4217, 4.82947, 4.84276, 4.88787, 4.62115,
soplex_66B, 27.573, 25.4968, 25.2343, 3.4916, 3.43611, 3.61555, 3.17734,
sphinx3_1339B, 10.9775, 9.89978, 4.76919, 7.49227, 7.18275, 7.3951, 7.49506,
sphinx3_2520B, 8.23917, 7.79928, 3.36245, 0.11858, 0.11859, 0.1186, 0.1186,
sphinx3_883B, 12.7567, 12.0154, 7.14934, 0.20581, 0.20581, 0.20581, 0.20581,
tonto_2049B, 0.11855, 0.11855, 0.11855, 2.43653, 2.42311, 2.42073, 2.38371,
tonto_2834B, 0.2061, 0.2061, 0.20584, 0.95908, 0.95908, 0.95908, 0.95908,
tonto_422B, 2.76187, 2.29941, 2.27271, 10.4145, 10.4464, 10.3949, 10.1996,
wrf_1212B, 0.78051, 0.78017, 0.97491, 9.07548, 9.06785, 9.06789, 9.06392,
wrf_1228B, 10.1802, 9.95491, 10.4243, 4.02813, 4.02439, 4.03466, 4.0258,
wrf_1650B, 7.84971, 7.85353, 9.00594, 0.31299, 0.313, 0.313, 0.313,
xalancbmk_748B, 2.7187, 2.74432, 4.04726, 23.4694, 22.0244, 21.6862, 21.9044,
xalancbmk_768B, 0.27531, 0.27743, 0.30447, 6.80311, 6.80311, 6.80311, 6.80312,
xalancbmk_99B, 29.4543, 28.8014, 21.5853, 3.40473, 3.37194, 3.39497, 3.37451,
zeusmp_100B, 4.9905, 5.06636, 6.84821, 3.70435, 3.70435, 3.70435, 3.70435,
zeusmp_300B, 2.65241, 2.68278, 3.37844,,,
zeusmp_600B, 3.15904, 3.15866, 3.68339,,,
